age_years,local_population,distance_to_city,distance_to_town,distance_to_primary,distance_to_secondary,distance_to_tertiary,lat_deg,lon_deg,water_source_clean,water_tech_clean,water_source_category,water_tech_category,clean_adm1,is_urban,is_non_functional,clean_adm2,report_year,wpdx_id
4.0,108.0,173333.0415034699,18149.731411935645,13868.048527140048,101169.38944623244,18195.5545459462,-16.15067,23.4645,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5RFX7+MQ5
1.0,48.0,189420.09291189729,9915.880497225138,10970.047145442695,93863.78743728636,7632.939356236248,-16.13584,23.21512,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Nalolo,2013,5GM5V678+M29
5.0,48.0,188411.242792136,7896.982002340271,8882.162362958547,93777.9745362183,5663.017857000141,-16.13335,23.23447,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Nalolo,2017,5GM5V68M+MQ9
4.0,84.0,179167.30407526504,18906.87759195553,16712.636118210023,94697.08752839328,16761.003880806,-16.08333333,23.47722222,Borehole/Tubewell,Hand Pump,Well,Hand Pump,Western,False,0,Senanga,2015,5GM5WF8G+MV9
1.0,277.0,116731.02706442474,4107.981606453988,126365.4430563272,57127.69947324559,951.4355126591836,-16.98664,26.48783,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM82F7Q+84W
1.0,53.0,114670.7349469184,13976.98356702905,124439.72602817176,66332.07369086442,12570.376294116286,-16.94732,26.38534,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8393P+34G
1.0,197.0,136688.4876000169,32834.46039158901,146495.1565989062,59110.14911029084,22591.085929749606,-16.73679,26.41141,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM87C76+7HM
12.0,112.0,168650.5369315864,63158.931377337445,178460.6656413244,43239.41335129663,3433.3148988271078,-16.453,26.48708,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8GFWP+RR4
7.0,199.0,170912.32484378995,61250.33509043936,180720.34939189517,37583.86614424165,1742.057822678006,-16.4542,26.5418,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8GGWR+8PF
1.0,207.0,175259.97376551837,51944.40264429342,185032.4592544183,26222.048552285905,10324.59890658426,-16.46446,26.65313,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8GMP3+676
15.0,147.0,171831.65212122462,66358.22766813512,181641.26144441788,42069.28391287544,3168.144612249844,-16.42409,26.49275,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8HFGV+946
1.0,285.0,178287.9247641259,67758.21567603243,188094.28597296108,41538.560003953135,4966.714169244852,-16.3611,26.49313,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8JFQV+H76
1.0,225.0,175938.14711744004,68983.61391482512,185747.5394145888,40347.28660949758,2247.117240900619,-16.3889,26.50523,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8JG64+C3X
3.0,857.0,183404.71108921515,59889.01887405131,193197.83129910272,25249.84331975105,1089.701329567264,-16.3777,26.6461,Borehole/Tubewell,Motorized Pump,Well,Motorized Pump,Southern,False,0,Kalomo,2013,5GM8JJCW+WCH
